,comments
214,BO=MIXED(HxW) VOLITIONAL RELEASE AND THEN REMAINDER OF FISH ON JUNE 7TH FORCED OUT OF POND.
215,"BO=MIXED(HxW) VOLITIONAL RELEASE FOR 2 WEEKS, REQUIRED TO SHUT OFF RIVER PUMPS ON APRIL 30."
216,BO=MIXED(HxW) WDFW RECEIVED AGREEMENT TO THIS EARLY RELEASE FROM ALL TRIBAL CO-MANAGERS AND THE NWIFC FISH HEALTH UNIT.
217,BO=W(WILD)
218,BO=W(WILD) 11:00AM
219,"BO=W(WILD) FISH LOOKED GOOD THIS YEAR, LOW LOSS. VOLITIONAL STARTED ON THE 19TH AND THE LAST OF THE FISH WERE FORCED OUT ON THE 27TH."
220,BO=W(WILD) FORCED NIGHT RELEASE.
221,BO=W(WILD) FPP IS ESTIMATE.  NOT RECORDED.
222,BO=W(WILD) FPP IS THE AVERAGE BETWEEN LENGTH AND SAMPLES.
223,BO=W(WILD) FPP IS THE AVERAGE BETWEEN THE TWO SIZE GROUPS
224,BO=W(WILD) FPP IS THE AVERAGE BETWEEN THE TWO SIZE GROUPS.
225,BO=W(WILD) HIGH ELISA FISH GOT PLANTED STRAIGHT INTO THE WENATCHEE RIVER BY RIGHT BANK. BROKE OUT WITH BKD BEFORE THE OTHER WENATCHEES WENT TO DRYDEN SO THEY COULDN'T BE MIXED.
226,"BO=W(WILD) MERGANSERS IN POND, AND DIDN'T SUBTRACT LOSS."
227,BO=W(WILD) OVER ALL FISH LOOKED GREAT
228,BO=W(WILD) RELEASE THE FISH FROM DRYDEN EARLY DUE TO DIRTY WATER BKD AND FUNGUS.
229,BO=W(WILD) THESE ARE PIT TAGGED FROM CHELAN PUD 1263 FOR THIS ENTIRE POPULATION.
230,BO=W(WILD) VOLITIONAL RELEASE NUMBERS ARE ESTIMATES.
231,BO=W(WILD) WE HAVE TO PUSH THE FISH ON 4/21/2021 DUE TO SICK FISH. FISH PER POUND IS AVERAGE BETWEEN LENGTH AND SAMPLES
232,BO=W(WILD) WILD FALL CHINOOK WITH ADIPOSE INTACT
233,BO=W(WILD) WILD FALL CHINOOK WITH ADIPOSE INTACT.
234,Bull Run Acc
235,"Bull Run Acc. FLR 156069,156070. 663 ADCWT Rel at TP Astoria, !05NT1836."
236,"BY13 int. sum ck release, includes Sim. And Omak ponds, 5,000 PIT tags in group"
237,"BY13 int. sum ck release, includes two sites Similkameen and Omak ponds"
238,"BY13 integrated 10j spring Chinook release, 5,000 PIT tags in release group"
239,BY13 integrated subyearlings
240,BY13 integrated summer Chinook release
241,"BY13 segregated hatchery spring chinook release, 5,000 PIT tags in release group"
242,"BY13 segregated summer Chiook release, 5,000 PIT tags in release group"
243,"BY14 integrated 10j spring Chinook yearling release, 5,000 PIT tags in group"
244,"BY14 integrated subyearling, 5,000 PIT tags in release group"
245,"BY14 integrated summer Chinook release, 5,000 PIT tags in release group"
246,"BY14 integrated summer Chinook yearling release, 5,000 PIT tags in release group"
247,"BY14 segregated spring Chinook yearling release, 5,000 PIT tags in release group"
248,"BY14 segregated subyearlings, 5,000 PIT tags in release group"
249,"BY14 segregated summer Chinook yearling release, 5,000 PIT tags in release group"
250,"BY15 integrated 10j spring chinook yearlings, 5,000 PIT tags in release group"
251,"BY15 integrated subyearling release, 5,000 PIT tags in release group"
252,"BY15 integrated summer Chinook yearlings, 5,000 PIT tags in release group"
253,"BY15 segregated spring Chinook yearlings, 5,000 PIT tags in release group"
254,"BY15 segregated subyearling release at CJH, 5,000 PIT tags in release group"
255,"BY15 segregated summer Chinook yearlings, 5,000 PIT tags in release group"
256,"BY16 CJH segregated subyearlings, 5,000 PIT tags in release group"
257,"BY16 integrated 10j yearlings, 5,000 PIT tags in release group"
258,"BY16 integrated subyearlings, 5,000 PIT tags in release group"
259,"BY16 integrated yearlings, 5,000 PIT tags in release group"
260,"BY16 segregated yearlings, 5,000 PIT tags in release group"
261,"BY17 integrated 10j spring Chinook release, 5,000 PIT tags in release group"
262,"BY17 integrated hatchery release, 5,000 PIT tags in release group"
263,"BY17 integrated yearling releases, 5,000 PIT tags in release group"
264,"BY17 segregated subyearling release, 5,000 PIT tags in release group"
265,"BY17 Segregated summer yearling release, 5,000 PIT tags in release group"
266,"BY17 segregated yearling releases, 5,000 PIT tags in release group"
267,"BY18 integrated 10j yearlings, 5,000 PIT tags in release group"
268,"BY18 integrated yearlings, 5,000 PIT tags in release group"
269,"BY18 segregated yearlings, 5,000 PIT tags in release group"
270,"BY19 integrated 10j spring yearling release, 5,000 PIT tags in group"
271,"BY19 integrated subyearlings, 5,000 PIT tags in release group"
272,"BY19 integrated summer yearling release, 5,000 PIT tags in group"
273,"BY19 integrated summer yearling release, 5,000 PIT tags in release group"
274,"BY19 segregated spring Chinook yearling release, 5,000 PIT tags in release group"
275,"BY19 segregated subyearling, release, 5,000 PIT tags in release group"
276,"BY19 segregated summer yearling release, 5,000 PIT tags in release group"
277,"BY20 integrated 10j spring Chinook release, 5,000 PIT tags in release group"
278,"BY20 integrated subyearling release, 5,000 PIT tags in release group"
279,"BY20 integrated summer Chinook yearling release, 5,000 PIT tags in release group"
280,"BY20 segregated spring Chinook yearling release, 5,000 PIT tags in release group"
281,"BY20 segregated subyearling release, 5,000 PIT tags in release group"
282,"BY20 segregated summer yearling release, 5,000 PIT tags in release group"
283,"BY21 integrated 10j spring Chinook release, 5,000 PIT tags in release group"
284,BY21 integrated summer Chinook yearling release
285,"BY21 segregated spring Chinook yearling release, 5,000 PIT tags in release group"
286,"BY21 segregated summer Chinook yearling release, 5,000 PIT tags in release group"
287,"BY21 segretaed summer Chinook subyearling release, 5,000 PIT tags in release group"
288,"BY22 integrated 10j spring Chinook release, 5,000 PIT tags in release group"
289,"BY22 integrated summer Chinook yearling release, 5000 PIT tags in release group"
290,"BY22 segregated Chinook subyearling release, 5,000 PIT tags in release group"
291,"BY22 segregated spring Chinook yearling release, 5,000 PIT tags in release group"
292,BY22 segregated summer Chinook yearling release
293,"BY22 segregated summer Chinook yearling release, 5,000 PIT tags in release group"
317,Captive brood progeny
318,CFJ01 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
319,CFJ01 RightEye Red + CWT in Snout or CWT in snout + PIT tag
320,CFJ02 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
321,CFJ02 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
322,CFJ03 RightEye Red + CWT in Snout or CWT in snout + PIT tag
323,CFJ04 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
324,CFJ05 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
325,CFJ05 RightEye Red + CWT in Snout or CWT in snout + PIT tag
326,CFJ06 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
327,CFJ06 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
328,"ChF release from Pendleton; DI related cwt 090682,090684,090683,090686,NT1935BW"
329,"ChF release from Pendleton; DI related cwt 090682,090684,090685,090683,NT1935BW"
330,"ChF release from Pendleton; DI related cwt 090682,090684,090685,090686,NT1935BW"
331,CHF SUBYEARLING FROM REITH BRIDGE;ASSOC C019 090585 NT1648BW C019;    ENGELKING
332,CHF SUBYEARLING TO REITH BRIDGE WITH BWTASSOC RELEASE CO19;090586 NT1648BW   HME
333,"CHS RELEASE FROM IMEQUES   ACCL TO UMATILLA R. ASSOC 090471;090470, 090485 C018"
334,"CHS RELEASE FROM THORNHOLLOW ACCL  UMATILLA R.;ASSOC C018,090485,090471,090469"
335,Control group no vaccine
336,cv @ tagging 5.1
337,"CV EDITED PER C. DEAN, J. KORDOSKY 12/30/2020."
353,CWT RETENTION DATA FROM POND D12; PRODUCTION IN C BANK              ENGELKING
354,CWT Volitional; AD-RV Forced
355,DEEP RIVER WATER TEMP 63.1
356,Differential otolith marked
357,"DIRECT RELEASE FROM REITH BR. ASSOC. W/ C011,NT1737BW,& 090704."
358,Direct release from Reith Br. Pds 01B & 02B. SRB.
359,Direct release through Pendleton pond 1.
360,"Direct release, Reith Br. FLRs 162520 & 521. Pds 01A & 02A."
361,"DIRECT RELEASE,REITH BR. ASSOC. WITH C011 & NT1737BW & 090705."
362,Direct stream @ Harris Park
363,Direct stream @ SFWW Adult Holding Facility
364,Direct stream @ Walla Walla Hatchery
365,Direct stream at ?Imtwaha Fish Hatchery (Formerly named Walla Walla Hatchery)
366,Double index to 090719 and NT1952BW
367,Double Index with 090729 and NT1952BW
368,early
369,Early
370,EARLY GROUP;LATE GROUP END OF MONTH HAS NO CWT TAGGED FISH            HME
371,EARLY REARED AT LEABURG HATCHERY        ENGELKING
372,EARLY RELEASE FALL CHINOOK
373,EARLY RELEASE GROUP
374,EARLY RELEASE GROUP (CWT# 638558)
375,early sub yearling
376,"Early summer, or early release"
377,Early yearling release
378,electron release
379,Emergency release due to ice from Imeques Acc; FLR 161799
380,Emergency release due to ice from Thornhollow; FLR 161800
381,ENGELKING
