,comments
1291,PRO ESJ02 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1292,Pro ESJ03 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1293,PRO ESJ03 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1294,PRO ESJ04 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1295,PRO ESJ04 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1296,Pro ESJ05 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1297,PRO ESJ05 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1298,PRO ESJ06 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1299,PRO ESJ06 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1300,Pro JCJ01 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1301,PRO JCJ01 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1302,PRO JCJ02 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1303,PRO JCJ02 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1304,Pro JCJ03 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1305,PRO JCJ03 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1306,PRO JCJ04 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1307,PRO JCJ04 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1308,Pro JCJ05 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1309,PRO JCJ05 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1310,PRO JCJ06 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1311,PRO JCJ06 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1313,Prosser
1314,R. M. 10
1315,R. M. 30
1316,R.M. 10
1317,R.M. 20
1318,R.M. 30
1319,R.M.30
1320,REARED CARSON NFH;ACC. AT MOVING FALLS ACC SITE;ASSOC WITH 090480;C015;ENGELKING
1321,"RELATED CWT 090884; Grp ID C003; FLR 165035, 165037 hme"
1322,related tc 636917
1323,Release derrived with electronic counter
1324,RELEASE FROM STEP HATCHERY MILLICOMA POND                             ENGELKING
1325,RELEASE RPT FROM 9/9/2013;DAVID WELCH
1326,RELEASED AT IMEQUES ACCL. ASSOC.W/ C012.090643 & NT1738BW.
1327,RELEASED AT IMEQUES ACCL. ASSOC.WITH C012. 090652 & NT1738BW.
1328,RELEASED AT NIGHT
1329,RELEASED AT THORNHOLLOW ACCL. TRANSFERRED TO T-HOLLOW 11/20/12.
1330,RELEASED BELOW CHAMBERS TRAP LADDER. OUTGOING TIDE TO -.39'(7.5' AT TIME OF RELEASE). FISH OBSERVED DISPERSING AND HEADING OUT IMMEDIATELY.
1331,"Released below Hells Canyon Dam, Idaho. Ent'd by SRB."
1332,RELEASED BY IDAHO POWER AT HELLS CANYON DAM                               HME
1333,RELEASED DIRECTLY INTO CHAMBERS BAY.
1334,"Released from Pendleton;related tags 090682,090683,090685,090686,NT1935BW"
1335,"Released from Pendleton: related tags 090683,090684,090685,090686,NT1935BW"
1336,RELEASED HELLS CANYON DAM; MARK SUCHY BYIDAHO POWER                  ENGELKING
1337,RELEASED IN THE EVENING TO MINIMIZE PREDATION.
1338,"RESEARCH RELEASE OF 60 FISH 5/17.ASSOC WITH 090469,090485,090470 C018;       HME"
1339,Retention based on trailer QC
1340,RETENTION CHECK IN POND C4;BRETT RECQUA FLR 158901 TO 158912;                 H
1341,RETENTION D12;FLR 152264 TO 152274
1342,"retention from yearlings, rel # from hatchery"
1343,REVISED PER J. RIST;TULE FLR 110819                                   HME
1344,RM 10
1345,rm 24.8 upriver release
1346,RM 30
1347,RM 30 adults + IHN
1348,"salinity study, vaccinated low salinity group 10 ppt @ 600 fpp"
1349,salt water transfer feed trial
1363,SF Klaskanine is hatchery of origin. Entd by SRB. FLR 155748
1364,should be 0501050103 Changed to 0 tagged created new record for 0501050103
1365,size 20-200f/lb; Exptl release of seined fish from Salmon R; 093651 13M004
1366,size 20-200f/lb; Exptl release of seined fish from Salmon R; 093652 related
1367,Smolts released from Goat Wall Pond in 2022.
1369,STEP HATCHERY RELEASE                                        ENGELKING
1370,STEP RELEASE RUMREICH VO1162;PRELIMINARY DATA NEED RETENTION DATA      ENGELKING
1371,STEP RELEASE TOM RUMREICH
1372,STEP-T RUMREICH. Chgd b.y. 7/28/14 SRB.      ENGELKING
1373,"STEP, T.RUMREICH.7/28/14 chgd B.Y.                                     ENGELKING"
1374,STF CFJ01 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1375,STF CFJ03 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1376,STF CFJ05 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1377,STF ESJ01 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1378,STF ESJ03 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1379,STF ESJ05 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1380,STF JCJ01 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1381,STF JCJ03 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1382,STF JCJ05 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1383,TAGGED 5/10/11 FROM WILLAMETTE H;ASSOC W 090372; C023          HME
1384,TAGGED 5/27/11                                                      ENGELKING
1385,TAGGED FRY RELEASE                                                   ENGELKING
1386,TAGGED RELEASE HATCHERY AND TRASK POND; REHN -STEP RELEASE VO0167 36888 FISH;HME
1387,"THE SUB-YEARLING PROGAM WAS MADE UP OF DESCHUTES,MINTER,AND CHAMBERS STOCKS."
1388,"THIS IS A SMALL EXPERIMENTAL GROUP OF 2,000 FISH RAISED FOR TWO YEARS ONSITE.  THEY RECEIVED AD+CWT+LV UNIQUE MARKING."
1389,Thornhollow
1390,transfer diet control
1391,"transferred from Eastbank, BY20 summer yearling marked and released and CJH"
1392,Transport to Mill Creek river mile 25.5
1393,Transport to WW river mile 5
1394,"Trucked to Palmer, 100% otolith"
1395,"trucked to Palmer, 100% otolith marked"
1396,TULES HAULED FROM BC TO KK;24500 CWT RELEASED IN NF KLASKANINE ON 4/15/11   HME
1397,Under production due to disease and marking loss.  FLR 159426.
1398,under sized tagged later
1399,"Up River release RM 24.8, possible low survival"
1401,upriver release SF Noocksack RM 24.8
1402,vaccinated
1403,Vaccinated c-3
1404,vaccinated high salinity group 20ppt @600 fpp
1405,vaccine
1406,"vaccine  study, heavy mortality"
1407,"Vaccine control group, no vaccine"
1408,vaccine group
1409,vaccine study
1411,vibreo vaccinated
1412,vibrio vaccinated
1413,vibrio vaccine study group
1414,VIT CFJ01 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1415,VIT CFJ01 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
1416,VIT CFJ01 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1417,VIT CFJ02 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1418,VIT CFJ02 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
1419,Vit CFJ02 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1420,VIT CFJ02 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1421,VIT CFJ03 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
1422,Vit CFJ03 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1423,VIT CFJ03 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1424,VIT CFJ04 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
1425,VIT CFJ04 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1426,VIT CFJ05 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1427,VIT CFJ05 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
1428,VIT CFJ05 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1429,VIT CFJ06 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1430,VIT CFJ06 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
1431,Vit CFJ06 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1432,VIT CFJ06 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1433,VIT ESJ01 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1434,VIT ESJ01 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1435,VIT ESJ02 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1436,Vit ESJ02 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1437,VIT ESJ02 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1438,VIT ESJ03 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1439,VIT ESJ03 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1440,VIT ESJ04 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1441,Vit ESJ04 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1442,VIT ESJ04 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1443,VIT ESJ05 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1444,VIT ESJ05 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1445,VIT ESJ06 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1446,Vit ESJ06 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1447,VIT ESJ06 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1448,VIT JCJ01 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1449,VIT JCJ01 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1450,VIT JCJ02 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1451,Vit JCJ02 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1452,VIT JCJ02 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1453,VIT JCJ03 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1454,VIT JCJ03 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1455,VIT JCJ04 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1456,Vit JCJ04 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1457,VIT JCJ04 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1458,VIT JCJ05 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1459,VIT JCJ05 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1460,VIT JCJ06 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
1461,Vit JCJ06 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1462,VIT JCJ06 RightEye Orange + CWT in Snout or CWT in snout + PIT tag
1463,VOLITIONAL RELEASE STARTED 4/3/22. SCREEN PULLED ON OUTGOING FROM HIGH SLACK TIDE. FINAL FISH OBSERVED GONE FROM TRAP ON 4/14/22.
1464,VOLITIONAL RELEASE STARTED AT DUSK 5/9/21 ON OUTGOING TIDE (4.7' LOW).95% OF FISH GONE BY 11 AM 5/10/21.
1481,Wild Nisqually stock
1482,"Wire multiple lengths: 8,815 at 1.5, 20,741 at 1.0, 3,481 unknown. FLR 132910."
1513,yearling
1514,yearling 1+
1515,Yearling Ad+CWT Sol Duc Release. 5.7CV
1516,yearling release
1517,Yearling release
1518,yearlings
1519,Yearlings
1520,Yearlings Bear Springs
1521,yearlings R.M. 34
1522,yearlings released mile 34
1523,yearlings river mile 34
1524,YP 1
1525,zero age release
1526,Zero age release
1527,zero release
1528,"zero release,late lot, early release"
1529,"Zero Sol Duc Release, rm 30"
1530,"zeros late lot, early release"
1531,Zeros R.M. 30
