"","tag_code","run_year","recovery_date","fishery","number_cwt_estimated","related_group_id","run","brood_year","cwt_total","recovery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","recovery_location_code","hatchery_location_name","hatchery_location_code","first_release_date","release_stage","comments","avg_length","avg_weight","recovery_rmis_region","release_year"
"23","635699",2013,20130527,11,1.11,"04201100000621",3,2010,204091,"AK M 1 NW 183-10","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NW183^10","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
"24","210962",2013,20130706,10,2.39,"172011Q0001",3,2010,220485,"AK M 1 SW 104-50","QUINAULT R   21.0398","WA","NWC","QEQU","1M1SW104^50","QUINAULT LK HATCHERY","3F21702^^210398^H",20110731,"S","ASSOCIATED TO 210961",NA,27.7,"SEAK",2011
"25","635283",2013,20130614,11,1.61,"",3,2010,201534,"AK M 1 SE 101-21","FINCH CR     16.0222","WA","HOOD","SKDO","1M1SE101^21","HOODSPORT HATCHERY","3F10412^^160222^H",20110528,"","",83,5.53,"SEAK",2011
"26","635282",2013,20130704,10,2.39,"04201100000219",2,2010,200125,"AK M 1 SW 103-11","SKYKOMISH R  07.0012","WA","NPS","SNOH","1M1SW103^11","WALLACE R HATCHERY","3F10308^^070943^H",20110603,"","BO=MIXED(HxW)",83,6.08,"SEAK",2011
"27","635699",2013,20130706,10,3.27,"04201100000621",3,2010,204091,"AK M 1 NW 113-41","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NW113^41","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
"28","635699",2013,20130706,10,2.39,"04201100000621",3,2010,204091,"AK M 1 SW 104-35","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1SW104^35","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
"29","635979",2013,20131022,10,3.85,"",8,2010,279128,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"30","635775",2013,20131022,10,3.85,"",2,2010,438216,"AK M 1 NW 113-41","WELLS HATCHERY","WA","UPCR","PRGC","1M1NW113^41","WELLS HATCHERY","3F42001^^470001^H02",20110519,"","BO=MIXED(HxW)",89,9.94,"SEAK",2011
"31","210962",2013,20130706,10,3.27,"172011Q0001",3,2010,220485,"AK M 1 NW 113","QUINAULT R   21.0398","WA","NWC","QEQU","1M1NW113","QUINAULT LK HATCHERY","3F21702^^210398^H",20110731,"S","ASSOCIATED TO 210961",NA,27.7,"SEAK",2011
"32","635699",2013,20130702,10,3.27,"04201100000621",3,2010,204091,"AK M 1 NW 113-41","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NW113^41","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
